,Opponents,,,,,,,,,,,,,,,,Pass yards,,,,,,,,,,,,,,,,Pass YPA,,,,,,,,,,,,,,,,Rush Yards,,,,,,,,,,,,,,,,Rush YPA,,,,,,,,,,,,,,,,Penalty yards,,,,,,,,,,,,,,,,Turnovers,,,,,,,,,,,,,,,,3rd percentage,,,,,,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,RZ%,,,,,,,,,,,,,,,,H/a,,,,,,,,,,,,,,,,Spread,,,,,,,,,,,,,,,,Covered,,,,,,,,,,,,
KC,HOU,LAC,BAL,NE,LV,BUF,DEN,NYJ,CAR,LV,TB,DEN,MIA,,,,203,289,385,229,333,221,185,446,361,352,456,313,354,,,,6.2,6,9.2,7.6,7.2,8.2,6.4,9.5,7.7,7.7,8.8,7.6,9.6,,,,166,125,132,94,80,245,101,50,36,108,87,134,94,,,,4.9,5.7,4.3,3.8,4,5.3,4.6,2.5,3.3,4,4.4,6.1,3.9,,,,5,90,38,38,94,68,15,61,75,89,82,44,56,,,,0,0,1,1,1,1,1,0,1,0,1,0,4,,,,0.53,0.46,0.77,0.36,0.43,0.64,0,0.53,0.54,0.55,0.5,0.3,0.45,,,,34.47,28.38,33.56,28.68,24.42,37.45,26.36,31.3,21.59,32.05,36.47,29.29,28.3,,,,1,0.5,1,0.66,0.8,0.6,0.5,0.5,0.75,0.8,0,0,0.5,,,,1,0,0,1,1,0,0,1,1,0,0,1,0,,,,-9.5,-7,2,-8.5,-12.5,-3,-5.5,-13,-14.5,-8,-3.5,-11.5,-7.5,,,,1,0,1,1,0,1,1,1,0,0,0,0,0
LAC,CIN,KC,CAR,TB,NO,JAC,DEN,LV,MIA,NYJ,BUF,NE,ATL,,,,207,296,319,278,239,349,275,312,174,347,291,188,240,,,,6.5,8.5,6.3,10.3,6.5,7.8,6,7.1,5.1,6.7,5.3,3.8,5.3,,,,155,183,117,46,111,135,210,128,99,29,76,70,105,,,,4,4.2,5.1,2,3.5,4.2,5.5,4.1,3.4,1.1,3.2,4.7,4,,,,35,40,60,60,60,35,67,45,31,78,91,30,40,,,,0,1,4,2,0,0,2,1,1,1,1,2,1,,,,0.375,0.46,0.666,0.4,0.47,0.42,0.43,0.46,0.31,0.6,0.1875,0.3888,0.6,,,,30,39.27,31.11,25.05,30,34,36,34,30,36,30,26,25,,,,0.33,0.666,0.66,1,1,0.4,0.5,0.5,1,0.4,0.5,0,0.5,,,,0,1,1,0,0,1,0,1,0,1,0,1,1,,,,-3,7,-6.5,6.5,9,-7,-3,-5,3,-9.5,4.5,-2,-1.5,,,,1,1,0,0,1,1,0,0,0,0,0,0,1
LV,CAR,NO,NE,BUF,KC,TB,CLE,LAC,DEN,KC,ATL,NYJ,IND,,,,239,261,249,297,346,271,100,160,154,275,203,368,345,,,,8,6.4,7.3,6.5,10.8,6.9,3.8,6.7,6.2,8.9,4.6,7.5,7.5,,,,133,116,126,86,144,76,209,160,203,89,40,72,79,,,,4.3,3.3,5.7,3.7,4.1,3.2,4.6,6.2,5,3.4,2.9,2.9,3.6,,,,40,13,40,65,59,35,25,10,82,72,141,21,33,,,,0,1,3,2,1,1,0,1,0,1,5,2,3,,,,0.545454,0.58,0.333,0.57,0.5,0.38,0.54,0.5,0.461,0.6666,0.25,0.43,0.6666,,,,32,36,25,28,35,31,37,25,36,27.55,25,31,31,,,,0.75,0.75,0.4,0.75,1,0.5,0.25,0.6666,0.6,0.8,0,0.6666,0.4,,,,0,1,0,1,0,1,0,0,1,1,0,0,1,,,,-2,4,7,3,12.5,4,1,5,-3,8,-3.5,-7.5,2.5,,,,1,1,0,0,1,0,1,1,1,1,0,0,0
DEN,TEN,PIT,TB,NYJ,NE,KC,LAC,ATL,LV,MIA,NO,KC,CAR,,,,216,215,184,242,164,234,234,302,247,270,12,151,269,,,,6.5,4.7,4.1,7.8,6.3,5.4,5.7,6.2,5,9,1.2,5.4,9.6,,,,130,104,42,117,135,177,108,103,66,189,100,179,96,,,,4.1,4,3,3.7,3.6,5.4,6.8,4.7,3.5,5.7,3,5.4,3.2,,,,56,30,30,94,20,34,70,65,37,70,10,31,18,,,,1,2,2,3,2,4,1,1,5,2,3,2,1,,,,0.33333,0.333,0.357,0.5,0.285,0.36,0.38,0.4375,0.4666,0.3333,0.1,0.538,0.375,,,,27,30,26,31,32,33.24,24,26,25,30,24,30,30,,,,0.666,0.25,0.75,0.5,0,1,0.66,1,0.333333,0.33333,0,1,1,,,,1,0,1,0,0,1,1,0,0,1,1,0,0,,,,4,6.5,7,-1,7.5,5.5,3,4.5,3,4,17,11.5,4,,,,0,1,0,1,1,0,1,0,0,1,0,1,1
IND,JAC,MIN,NYJ,CHI,CLE,CIN,DET,BAL,TEN,GB,TEN,HOU,LV,,,,357,203,234,186,240,371,247,227,297,280,280,262,244,,,,7.6,7.5,9.4,6.2,7.1,8.2,6.9,5.2,7.4,7.6,6.1,6.9,8.7,,,,88,151,119,103,68,59,119,112,133,140,56,109,212,,,,4,3.8,3.8,2.7,3.8,3.9,3.1,5.3,4.6,3.8,2.7,3.8,6.8,,,,80,93,40,76,54,55,19,30,73,116,50,50,50,,,,2,1,0,0,2,2,0,2,0,2,1,0,0,,,,0.333,0.272727,0.3,0.421,0.3636,0.6363,0.5,0.16,0.3333,0.375,0.384,0.2727,0.7272,,,,33,38,30,33,25,25,38,26,31,33,25,33,29,,,,0.4,0.5,1,0.25,0.25,1,1,0.5,0.5,0.5,1,0.5,0.4,,,,0,1,1,0,0,1,0,1,0,1,1,0,0,,,,-8,-3.5,-11.5,-3.5,1,-7.5,-3.5,-1,-1,-1.5,-3,-3,-2.5,,,,0,1,1,1,0,0,1,0,1,1,0,1,1
HOU,KC,BAL,PIT,MIN,JAC,TEN,GB,JAC,CLE,NE,DET,IND,CHI,,,,242,253,231,290,357,320,286,267,153,344,307,308,155,,,,6.7,6.3,7.2,8.1,9.9,8,6.8,7.9,4.8,9.3,11.4,7.2,4.2,,,,118,51,29,96,129,92,79,107,90,55,77,90,108,,,,5.4,3,1.9,3.7,5.9,3.4,3.6,3.8,4.1,2.9,3.3,4.7,4,,,,37,22,49,15,25,46,55,18,49,35,74,30,50,,,,1,2,1,1,2,0,1,1,0,0,1,2,2,,,,0.4,0.333,0.416,0.25,0.5,0.5,0.428,0.4,0.5,0.538,0.333,0.384,0.5,,,,25.13,25,23,23,28,30,31,28,26,28,26,26,30,,,,0.6,0.5,1,0,0.333,1,0.5,0.5,0.5,0.75,0.333,0.5,0.75,,,,0,1,0,1,1,0,1,0,0,1,0,1,0,,,,9.5,7.5,4,-3.5,-6,3.5,3,-7,4.5,-3,-3,3,-1,,,,0,0,0,0,1,0,0,0,1,1,1,0,0
JAC,IND,TEN,MIA,CIN,HOU,DET,LAC,HOU,GB,PIT,CLE,MIN,TEN,,,,150,315,318,340,289,231,154,288,151,267,235,266,263,,,,6.3,6.7,5.3,7.9,5.5,5.1,4.8,7.2,4,3.7,8.1,6,4.9,,,,91,165,72,89,75,44,140,115,109,73,140,124,91,,,,4,3.6,4.2,4.5,3.8,2.8,5.2,4.3,4.7,4.3,5.6,5,6.1,,,,61,60,63,49,35,56,55,78,86,23,24,83,80,,,,0,2,2,1,2,2,1,1,1,4,0,4,1,,,,0.5,0.714,0.3,0.2,0.5,0.538,0.4,0.428,0.307,0.34,0.38,0.307,0.357,,,,27,33,25,27,32,24,25,32,28,23,27,28,28,,,,1,0.8,1,0.4,0.5,0.4,1,0.666,0.666,0,0.6666,0.5,0.333,,,,1,0,1,0,0,1,0,1,0,1,0,0,1,,,,8,5,-3,1,6,3,7,7,13.5,10.5,6,10.5,7.5,,,,1,1,0,0,0,0,0,1,1,0,1,1,0
TEN,DEN,JAC,MIN,BUF,HOU,PIT,CIN,CHI,IND,BAL,IND,CLE,JAC,,,,247,231,310,195,344,210,223,136,137,250,220,369,205,,,,5.6,9.2,7.9,7,8,6.4,7.2,5.7,4.9,7.4,9.6,7.7,8.2,,,,107,123,134,139,263,82,218,92,157,173,229,62,249,,,,3.8,6.1,3.9,4.1,9.7,3.6,7.5,3,4.9,5.1,5.1,3.4,6.2,,,,37,30,45,46,73,73,68,57,30,44,63,52,78,,,,0,0,1,0,2,0,1,0,0,1,0,3,1,,,,0.4375,0.6363,0.2307,0.6,0.6,0.38,0.5454,0.4,0.3,0.41666,0.42,0.2,0.3333,,,,32,26,31,27,30,23,24,26,28,33,35,23,32,,,,0.666,1,0.5,1,0.666,1,0.75,1,0.5,0.4,0.8,0.8,0.666,,,,0,1,0,1,1,1,0,1,1,0,0,1,0,,,,-4,-5,-2.5,3,-3.5,-3,-7,-6,1,6,3,-6,-7.5,,,,1,0,0,1,1,0,0,1,0,1,1,0,1
CIN,LAC,CLE,PHI,JAC,BAL,IND,CLE,TEN,PIT,WSH,NYG,MIA,DAL,,,,173,285,256,300,135,300,387,249,185,202,115,296,208,,,,4.4,4.5,4.9,8.1,3.6,7.3,7.4,6.7,4.2,4.2,3.7,4.7,5.2,,,,122,68,48,205,70,98,81,118,139,70,40,40,101,,,,4.4,2.8,2.7,6,2.5,3.1,3.9,3.7,6.6,3.9,2.7,3.9,3.4,,,,44,45,73,73,40,20,45,45,65,49,27,62,25,,,,2,1,0,1,3,1,2,0,2,2,3,2,3,,,,0.43,0.444,0.2307,0.3636,0.1875,0.47,0.666,0.6666,0,0.2307,0.3,0.25,0.5625,,,,30,33,27,33,35,34,33,35,30,30,22,28,35,,,,0,0.5,0.5,0.25,0,1,0.6,0.8,0.5,0.3333,1,0,0.3333,,,,1,0,0,1,0,0,1,1,0,0,1,0,1,,,,3,6,5.5,-1,11,7.5,4,7,6.5,1.5,6.5,10,3,,,,0,1,1,1,0,1,1,1,0,0,1,0,0
PIT,NYG,DEN,HOU,PHI,CLE,TEN,BAL,DAL,CIN,JAC,BAL,WSH,BUF,,,,208,301,218,231,148,268,173,309,333,267,266,305,177,,,,6.1,7.2,5.7,6.6,7.3,5.5,5.1,6.9,7.2,5.8,5.2,5.6,4.7,,,,141,109,169,136,129,94,48,46,44,106,68,21,47,,,,4.7,5,4.4,4.3,3.5,3.8,3,2.6,2.2,3.9,3.4,1.5,2.8,,,,21,89,14,86,45,69,30,16,45,37,40,45,55,,,,1,2,0,1,0,3,1,0,0,1,2,1,1,,,,0.5333,0.1666,0.444,0.73333,0.357,0.7222,0.3333,0.384,0.375,0.411,0.22,0.4,0.1,,,,32,30,37,35,34,36,24,27,30,36,33,30,25,,,,0.75,0.3333,0.4,1,0.75,0.6,1,0.666,0.5,1,0.25,0.3333,1,,,,0,1,1,1,1,0,0,0,1,0,1,1,0,,,,-6,-6.5,-4,-7.5,-3,3,4,-14,-6.5,-10.5,-10.5,-6,2,,,,1,0,1,1,1,1,1,0,1,1,0,0,0
